id,name,latitude,longitude,departures,arrivals,combined,docks,launch
35,"Streeter Dr & Grand Ave",41.892278,-87.612043,392240,392240,784480,47,2013
76,"Lake Shore Dr & Monroe St",41.880958,-87.616743,246431,246431,492862,39,2013
91,"Clinton St & Washington Blvd",41.88338,-87.64117,236984,236984,473968,31,2013
192,"Canal St & Adams St",41.879255,-87.639904,220380,220380,440760,47,2013
177,"Theater on the Lake",41.926277,-87.630834,216946,216946,433892,31,2013
268,"Lake Shore Dr & North Blvd",41.911722,-87.626804,197060,197060,394120,39,2013
85,"Michigan Ave & Oak St",41.90096039,-87.62377664,193362,193362,386724,23,2013
77,"Clinton St & Madison St",41.882242,-87.641066,192482,192482,384964,31,2013
90,"Millennium Park",41.8810317,-87.62408432,190813,190813,381626,47,2013
174,"Canal St & Madison St",41.882091,-87.639833,174565,174565,349130,35,2013
195,"Columbus Dr & Randolph St",41.884728,-87.619521,159355,159355,318710,55,2013
43,"Michigan Ave & Washington St",41.88355,-87.62418,154577,154577,309154,43,2013
287,"Franklin St & Monroe St",41.880317,-87.635185,146255,146255,292510,27,2013
81,"Daley Center Plaza",41.884241,-87.629634,134282,134282,268564,39,2013
26,"McClurg Ct & Illinois St",41.890359,-87.617532,129267,129267,258534,31,2013
52,"Michigan Ave & Lake St",41.886024,-87.624117,122980,122980,245960,35,2013
133,"Kingsbury St & Kinzie St",41.88917683258,-87.6385057718,120780,120780,241560,31,2015
283,"LaSalle St & Jackson Blvd",41.878166,-87.631929,120142,120142,240284,35,2013
36,"Franklin St & Jackson Blvd",41.8777079559,-87.6353211408,116839,116839,233678,39,2013
110,"Dearborn St & Erie St",41.893992,-87.629318,116802,116802,233604,27,2013
75,"Canal St & Jackson Blvd",41.877245,-87.639366,116086,116086,232172,39,2013
255,"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,116018,116018,232036,39,2013
49,"Dearborn St & Monroe St",41.881319815,-87.6295209193,115497,115497,230994,39,2013
176,"Clark St & Elm St",41.902973,-87.63128,115273,115273,230546,39,2013
100,"Orleans St & Merchandise Mart Plaza",41.888243,-87.63639,114537,114537,229074,35,2013
199,"Wabash Ave & Grand Ave",41.891466,-87.626761,111415,111415,222830,31,2013
66,"Clinton St & Lake St",41.885637,-87.641823,109345,109345,218690,23,2013
289,"Wells St & Concord Ln",41.912133,-87.634656,108114,108114,216228,19,2013
181,"LaSalle St & Illinois St",41.890762,-87.631697,107597,107597,215194,31,2013
59,"Wabash Ave & Roosevelt Rd",41.867227,-87.625961,107595,107595,215190,23,2013
94,"Clark St & Armitage Ave",41.918306,-87.636282,107169,107169,214338,31,2013
3,"Shedd Aquarium",41.86722595682,-87.6153553902,106822,106822,213644,55,2015
24,"Fairbanks Ct & Grand Ave",41.89186,-87.62062,103352,103352,206704,15,2013
